客先№,会社名,TEL,FAX,地区名,〒,住所
00216-00,㈱明石製作所,0280-92-2917,,茨城,306-0221,茨城県古河市駒羽根２０６
00216-01,㈱旭商工社神奈川南営業所＊,045-788-8001,045-788-8008,神奈川,236-0004,神奈川県横浜市金沢区福浦２－６－８
00218-00,青木樹脂工業,0556-66-2117,0556-66-2117,静岡,409-2102,山梨県南巨摩郡南部町福士１６１３９
00219-01,アトム精密　本社工場,03-3696-5727,03-3691-3146,東京,124-0014,東京都葛飾区東四ツ木１－１－１０
00220-01,アマノ株式会社　細江事業所,053-484-1042,,静岡,431-2103,静岡県浜松市浜名区新都田１丁目６－２
00220-02,アマノ㈱　都田テクノ事業所,053-484-1051,,静岡,431-2103,静岡県浜松市浜名区新都田１丁目６－２
00221-00,愛知時計電機㈱,052-661-5151,052-661-5163,愛知,456-0054,愛知県名古屋市熱田区千年一丁目２番７０号
00221-01,アイチ木曽岬精工㈱,0567-68-3815,0567-68-2264,三重,498-0814,三重県桑名郡木曽岬町三崎５５５
00222-00,旭機工㈱,0285-24-2155,,栃木,323-0034,栃木県小山市神鳥谷６－１０－４９
00223-00,㈱アムテックス　赤堀工場,0270-62-8721,0277-43-8050,群馬,379-2202,群馬県伊勢崎市赤堀鹿島町北鹿島７番地
00223-01,㈱アムテックス,0277-43-5511,0277-43-8050,群馬,376-0002,群馬県桐生市境野町７丁目８６番地
00224-00,㈱新井製作所,0272-66-0185,0272-66-6971,群馬,379-2133,群馬県前橋市中内町２６６－３
00225-00,愛産樹脂工業㈱　第２工場,0563-55-3231,0563-55-3223,愛知,445-0892,愛知県西尾市法光寺町流６番地４　法光寺内陸工業団地内
00225-01,愛産樹脂工業㈱　平坂工場,0563-77-0444,0563-77-0444,愛知,444-0305,愛知県西尾市平坂町仲間縄１８－１
00225-02,愛産樹脂工業㈱　本社,0563-55-3231,0563-55-3223,愛知,445-0892,愛知県西尾市法光寺町五反田１０４－３２
00226-00,荒木工業所,0263-82-4380,,長野,389-0605,長野県埴科郡坂城町上平５０９
00227-00,㈱アトラス,0429-26-1211,0429-26-1822,埼玉,359-1122,埼玉県所沢市寿町２７－７－２１０７
00228-00,愛知製鋼㈱,052-604-1111,,愛知,476-0003,愛知県東海市荒尾町ワノ割１番地
00228-01,愛知製鋼㈱　東浦工場,0562-84-2507,,愛知,470-2105,愛知県知多郡東浦町大字藤江字南栄１－１２
00228-02,㈱アイコーサービス,052-603-1605,052-603-1305,愛知,476-8666,愛知県東海市荒尾町ワノ割１番地（愛知製鋼㈱構内）
00230-00,㈱アールエム,052-811-7705,,愛知,457-0007,愛知県名古屋市南区駈上２丁目９－１６
00231-00,㈱アスカ工業,0568-76-1988,0568-75-1908,愛知,485-0825,愛知県小牧市下末五反田422-9
00232-00,アマルティア,0533-85-7004,0533-84-9244,愛知,442-0000,愛知県豊川市大橋町３丁目３番地
00233-00,朝日化成工業,052-401-1928,,愛知,452-0932,愛知県清須市朝日貝塚６９
00234-00,安達梱包㈱,052-352-4131,,愛知,454-0059,愛知県名古屋市中川区福川町１丁目５番地
00235-00,青木精密工業㈱,0482-95-2131,,埼玉,333-0816,埼玉県川口市差間３－３８
00236-00,愛知県刈谷勤労福祉会館,0566-36-0112,,愛知,448-0001,愛知県刈谷市井ケ谷町松ケ崎６番地２６
00237-00,㈱アライアクソン,042-773-6111,,神奈川,252-0132,神奈川県相模原市緑区橋本台２－１４－４６
00238-00,㈱アサヒ成工,0270-65-2429,0270-65-4956,群馬,370-1132,群馬県佐波郡玉村町大字下新田１０６５
00239-00,愛知県立春日井工業高等学校,0568-84-1115,,愛知,486-0822,愛知県春日井市熊野町五反田１１８０－１
00240-00,赤坂製作所,0284-91-3649,0284-91-3666,栃木,329-4212,栃木県足利市稲岡町４５９
00242-00,アイ・エス・オー,0284-41-1664,,栃木,326-0031,栃木県足利市末広町３９
00244-00,アイピー技研,0729-64-9466,0729-64-9467,大阪,578-0973,大阪府東大阪市東鴻池町５－１－５
00246-00,浅野硝子製造所,06-6793-2804,,大阪,547-0001,大阪府大阪市平野区加美北３－４－１３2001.8.22現在閉鎖
00250-00,アイネックス㈱　松山工場,0229-25-9897,0229-54-1610,宮城,987-1304,宮城県大崎市松山千石字新平吉森１－１
00251-00,アドコマットジャパン㈱　ユニクス事業部,0471-25-7111,,千葉,278-0055,千葉県野田市岩名１８１５－２０
00251-01,アドコマットジャパン㈱,0480-72-5253,,埼玉,349-1158,埼玉県北埼玉郡大利根町新利根１－２－２
00252-00,アルファ　ゲトリーベ㈱　神戸事務所,078-521-6800,078-521-6886,兵庫,652-0023,兵庫県神戸市兵庫区都由乃町３－３－６
00253-00,㈱アルマエンジニアリング,0493-23-3860,0493-24-3475,埼玉,355-0037,埼玉県東松山市若松町２丁目６番４７号
00254-00,アライ・サンズ,0277-43-1722,0277-47-1951,群馬,376-0034,群馬県桐生市東５－７－３９
00254-01,アライ・サンズ笠懸工場,0277-76-0411,0277-76-0412,群馬,379-2311,群馬県みどり市笠懸町阿左美１４５６－６
00256-00,ＩＨＩ（石川島播磨重工業㈱）,03-3534-3517,03-3534-3510,東京,135-0061,東京都江東区豊洲３－１－１５
00257-00,愛知カシオ㈱,0568-79-9321,,愛知,485-0822,愛知県小牧市大字上末２２３３－１
00258-00,荒深化成,0583-92-3538,0583-92-2324,岐阜,501-6211,岐阜県羽島市正木町南及２－８
00259-00,アイデア工業,0263-77-2407,0263-77-5606,長野,399-8103,長野県安曇野市三郷小倉１９９６
00261-00,㈱旭商工社　埼玉営業所,048-772-6811,048-772-6868,埼玉,362-0073,埼玉県上尾市浅間台２丁目２３－８
00261-01,㈱旭商工社　神奈川南営業所,045-788-8001,045-788-8008,神奈川,236-0004,神奈川県横浜市金沢区福浦２－６－８
00261-02,㈱旭商工社　湘南営業所,045-594-6770,045-314-4678,神奈川,220-0023,神奈川県横浜市西区平沼１－７－１０　ＹＳＫビル４Ｆ
00261-03,㈱旭商工社　秋田営業所,0182-32-8660,0182-33-4766,秋田,013-0064,秋田県横手市赤坂字館ノ下８０－１－２Ｆ
00261-05,㈱旭商工社　北九州営業所,0930-25-8120,0930-25-8130,福岡,824-0033,福岡県行橋市北泉３－７－７ ユクホウビルＹ－１１－Ｄ号
00261-06,㈱旭商工社　大分営業所,0978-33-2770,0978-33-2766,大分,879-0461,大分県宇佐市大字樋田４７
00261-07,㈱旭商工社　川崎営業所,044-211-3401,044-233-0959,神奈川,210-0012,神奈川県川崎市川崎区宮前町１－１
00261-08,㈱旭商工社本社,045-311-1551,045-314-4678,神奈川,220-0023,神奈川県横浜市西区平沼１－７－１０　ＹＳＫビル６Ｆ
00261-09,㈱旭商工社滋賀営業所,077-552-1555,077-554-0472,滋賀,520-3015,滋賀県栗東市安養寺１－３－２４
00261-10,㈱旭商工社　厚木営業所,046-227-1221,046-227-1203,神奈川,243-0015,神奈川県厚木市南町２７－１２
00261-11,㈱旭商工社　群馬営業所,0276-30-3311,0276-30-3312,群馬,373-0818,群馬県太田市小舞木町５５１－１　ＯＫビル１０１号室
00261-12,㈱旭商工社　いわき営業所,0246-85-0167,0246-85-0168,福島,971-8144,福島県いわき市鹿島町久保１－１１－６
00261-13,㈱旭商工社　神奈川南営業所,045-788-8001,045-788-8008,神奈川,236-0004,神奈川県横浜市金沢区福浦２－６－８
00261-14,㈱旭商工社北関東営業所,0285-53-0411,0285-53-0407,栃木,329-0511,栃木県下野市石橋１９４－１
00261-15,㈱旭商工社　厚木営業所,046-296-1121,046-296-7181,神奈川,243-0031,神奈川県厚木市戸室１－７－１
00261-16,㈱旭商工社　横浜南営業所,045-836-1350,045-836-1353,神奈川,235-0045,神奈川県横浜市磯子区洋光台６－１－１－１０６
00261-17,㈱旭商工社　仙台営業所,022-217-3791,022-217-3793,宮城,980-0821,宮城県仙台市青葉区春日町９－１５　チュリス春日町２Ｆ－４
00261-18,㈱旭商工社　横浜営業所,045-312-3111,045-314-4678,神奈川,220-0023,神奈川県横浜市西区平沼１－７－１０　ＹＳＫビル４Ｆ
00261-19,㈱旭商工社　富士営業所／沼津営業所,0545-73-0022,0545-71-1782,静岡,419-0201,静岡県富士市厚原３６７－７
00261-20,㈱旭商工社　熊谷営業所,048-577-7471,048-577-7473,埼玉,360-0014,埼玉県熊谷市箱７－１０－１２
00261-21,㈱旭商工社　浜松営業所,053-443-7015,053-443-7016,静岡,435-0044,静岡県浜松市中央区西塚町326-11-A
00261-22,㈱旭商工社　名古屋営業所,052-678-5611,052-671-8822,愛知,456-0013,愛知県名古屋市熱田区外土居町９番４０号－２階
00262-00,㈱アポロリース,0196-52-4102,,岩手,020-0024,岩手県盛岡市菜園１丁目１１－３第二橘産業ビル６Ｆ
00263-00,アルファ技研,072-881-4661,,大阪,571-0015,大阪府門真市大字三ツ島７９０－６
00264-00,アキレス㈱,0284-73-9239,0284-73-9809,栃木,326-8511,栃木県足利市借宿町６６８
00264-01,アキレス（株）足利第二工場,0284-73-9377,0284-73-9875,栃木,326-0332,栃木県足利市福富新町1570アキレス第2工場工業資材工場
00267-00,葵梱包,052-363-0071,,愛知,454-0059,愛知県名古屋市中川区福川町５－１－１０
00268-00,荒井商事,0284-72-4322,0284-72-4322,栃木,326-0836,栃木県足利市南大町２５９－３
00269-00,関東技研㈱,0273-43-3813,,群馬,370-3334,群馬県高崎市本郷町１５３
00273-03,アマノ㈱　津久井事業所,0427-84-7441,,神奈川,220-0204,神奈川県相模原市津久井町長竹２３６－３
00274-01,朝日インテック㈱　瀬戸工場,0561-48-5551,0561-48-5552,愛知,489-0071,愛知県瀬戸市暁町３－１００
00275-00,アズマ工業,0533-57-7995,0533-57-8163,愛知,443-0104,愛知県蒲郡市形原町平谷３３
00277-00,阿部実業,0564-74-7784,0564-74-7784,愛知,444-0226,愛知県岡崎市中島町字紅蓮１７－４
00278-00,愛知機械工業㈱,052-661-5116,,愛知,456-0055,愛知県名古屋市熱田区南一番町１番１０号
00278-01,愛知機械工業㈱　大江工場,052-613-3577,,愛知,455-0024,愛知県名古屋市港区大江町６－７
00278-04,愛知機械工業㈱　松阪工場,0598-52-1014,0598-52-1449,三重,515-0001,三重県松阪市大口町字北浜５０３番地の１
00280-01,㈱アテックス,089-924-7161,089-923-9415,愛媛,791-8524,愛媛県松山市衣山１－２－５
00283-00,荒川製作所,0282-62-3479,0282-62-3479,栃木,323-1106,栃木県下都賀郡藤岡町都賀１１００
00285-00,㈱青野工業　茨城事業所,0297-86-3661,0297-86-3665,茨城,300-1403,茨城県稲敷郡河内町金江津萱場５５０５
00285-01,㈱青野工業,03-3776-3144,03-3777-6896,東京,140-0015,東京都品川区西大井６－７－２
00287-00,安藤工業所,052-400-0146,,愛知,452-0917,愛知県清須市西堀江１９８９
00289-00,㈱アイエイアイ,054-364-8018,054-364-1811,静岡,424-0103,静岡県静岡市清水区尾羽５７７－１
00289-01,㈱アイエイアイ　横砂組工場,054-361-1355,,静岡,424-0034,静岡県静岡市清水区横砂中町２７－７
00289-02,㈱アイエイアイ　庵原事業所,054-361-3339,,静岡,424-0114,静岡県静岡市清水区庵原町１２１０
00289-03,㈱アイエイアイ　尾羽工場,054-364-8018,054-364-1811,静岡,424-0103,静岡県静岡市清水区尾羽580-1
00289-04,㈱アイエイアイ　広島営業所,082-544-1750,082-544-1751,広島,7300051,広島県広島市中区大手町３-１-９ 広島鯉城通りビル５Ｆ
00290-00,㈱アムレジン,0270-63-4121,0270-63-4083,群馬,379-2202,群馬県伊勢崎市赤堀鹿島町７番地
00291-00,旭屋樹脂工業㈱,03-3613-2211,03-3613-6790,東京,131-0043,東京都墨田区立花６－１１－２１
00292-00,亜細亜産業㈱,045-622-1543,,神奈川,231-0813,神奈川県横浜市中区かもめ町２１
00293-00,荒居製作所,0283-66-2617,0283-66-2629,栃木,327-0231,栃木県佐野市飛駒町２４２９
00295-00,青木電業㈱,0574-65-2564,0574-65-7950,岐阜,509-0262,岐阜県可児市菅刈４２２番地
00296-00,荒井工業,0262-76-0181,0262-76-2750,長野,389-0804,長野県千曲市戸倉１６２４
00297-00,アイティーシー,0270-25-4288,,群馬,372-0011,群馬県伊勢崎市三和町３４６５－１
00298-00,㈱青柳製作所,0296-57-3000,,茨城,309-1115,茨城県筑西市蓮沼西原１５４１－１９
00299-00,アイ・アンド・ピー,0493-35-1846,,埼玉,355-0047,埼玉県東松山市高坂１０５０－１
00301-00,青柳プラシステム,0296-22-2933,0296-25-6244,茨城,308-0000,茨城県筑西市仙石町４００
00302-00,アルプス電気㈱,0224-63-1211,0224-63-3847,宮城,981-1505,宮城県角田市角田字西田６－１
00302-01,アルプス電気㈱,0246-58-6464,,福島,971-8126,福島県いわき市小名浜野田字柳町４１－２５
00302-02,アルプスアルパイン㈱　古川第２工場,0229-91-8311,0229-25-3540,宮城,989-6225,宮城県大崎市古川塚目字北原１３６番１号
00302-03,アルプス電気㈱　長岡工場,0258-24-4111,0258-24-4110,新潟,940-8572,新潟県長岡市東高見１－３－５
00302-04,アルプス電気㈱　古川工場,0229-23-5111,0229-23-5103,宮城,989-6181,宮城県大崎市古川中里六丁目３番３６号
00303-00,愛技産業㈱,052-603-2688,,愛知,476-0015,愛知県東海市東海町３－２－１７
00304-00,浅野弘之,0583-98-3857,,岐阜,501-6257,岐阜県羽島市福寿町平方１３２４
00305-00,㈱アクタ,092-943-3931,092-943-3981,福岡,811-3105,福岡県古賀市大字鹿部字小牧３３５－１
00307-00,アイシン辰栄㈱,0566-48-7000,0566-48-7007,愛知,447-0824,愛知県碧南市港南町二丁目８番地１２
00307-01,アイシン辰栄㈱　安城工場,0566-75-3211,0566-74-4484,愛知,446-0045,愛知県安城市横山町管池５９
00307-01,アイシン辰栄㈱　安城工場,0566-75-3213,,愛知,446-0045,愛知県安城市横山町管池５９
00307-01,アイシン辰栄㈱　安城工場,0566-75-3214,,愛知,446-0045,愛知県安城市横山町管池５９
00309-00,㈱荒牧機工商事,06-6461-2451,06-6468-2897,大阪,553-0007,大阪府大阪市福島区大開１－１３－２８
00310-00,アオイ機工㈱,096-362-1628,096-362-3109,熊本,862-0000,熊本県熊本市管原町８－１６
00311-00,アウリン,0468-42-5699,0468-42-8622,神奈川,239-0813,神奈川県横須賀市鴨居２－３５－１０
00312-00,㈱アルプスエンジニアリング,053-485-3600,,静岡,432-8006,静岡県浜松市中央区大久保町１３４９
00313-00,アンドー精密,052-409-7003,052-409-7988,愛知,452-0000,愛知県清須市河原鴨地１０７
00315-00,旭商工㈱,06-6473-0341,,大阪,555-0033,大阪府大阪市西淀川区姫島５－８－６
00315-01,旭商工㈱寝屋川営業所,072-826-6661,072-826-6762,大阪,572-0038,大阪府寝屋川市池田新町６番１３号
00315-02,旭商工㈱滋賀営業所,0775-53-8021,,滋賀,520-3045,滋賀県栗東市高野２９３－３
00316-00,赤澤機械株式会社,06-6996-3321,06-6991-4731,大阪,570-0041,大阪府守口市東郷通２丁目１０－６
00317-00,あさひ銀リース㈱,06-6208-3127,,大阪,541-8522,大阪府大阪市中央区瓦町１－６－７トーメンビル５Ｆ
00317-01,あさひ銀リース㈱,03-3249-5961,03-3249-5989,東京,103-0016,東京都中央区日本橋小網町１３－７　ＳＦ小網町ビル
00320-00,㈱アオキモールディング,0277-76-8833,0277-76-7212,群馬,379-2312,群馬県みどり市笠懸町久宮１２５
