客先№,客先名,機種名,機種名称,機械№,ＢＯＸ名,客先住所,郵便番号,電話番号
10049-00,金子化学工業所,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0146,,愛知県蒲郡市豊岡町西門８４－１,443-0011,0533-68-4952
70042-00,矢作産業㈱,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0147,,愛知県岡崎市富永町福塚５－１,444-0946,0564-31-5827
51025-00,日比野工業㈱,取出機　　　　　　　　　　　　　　　　,T-900,T09-0190,,愛知県知立市新林町小深田１８－１,472-0017,0566-82-5118
83002-00,新和工業㈱　浜松工場,プ－ルコンベア　　　　　　　　　　　　,PC3000-4,,,静岡県引佐郡細江町気賀１８２６,431-1305,053-523-1778
30063-00,竹内化学,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0246,,愛知県西尾市吉良町上横須賀馬頭１５－６,444-0521,05633-5-0478
21018-00,㈱シンケミ,ＲＣ－コンベア　　　　　　　　　　　　,RC2000-4,,,長野県上田市殿城８５０,386-0004,0268-24-5633
10030-00,カワイ産業㈱,取出機　　　　　　　　　　　　　　　　,TS-900,,,長野県上田市住吉８７７２－３,386-0002,0268-24-1358
10030-00,カワイ産業㈱,プ－ルコンベア　　　　　　　　　　　　,PC3000-5,,,長野県上田市住吉８７７２－３,386-0002,0268-24-1358
20043-00,佐藤化成,取出機　　　　　　　　　　　　　　　　,TS-600,T06-0151,,愛知県小牧市大字河内屋新田３９７,485-0085,0568-71-7077
21013-00,株式会社伸東工業　本社,取出機　　　　　　　　　　　　　　　　,TS-1200,T12-0114,,静岡県浜松市浜名区寺島９０５,434-0035,053-587-5111
34046-00,三光合成㈱　静岡工場(40062-17),取出機　　　　　　　　　　　　　　　　,MHY-1700SNII,,,静岡県掛川市下土方３５６０,437-1434,0537-74-2512
51026-00,日置合成樹脂工業所,取出機　　　　　　　　　　　　　　　　,TS-900,T09-0120,,静岡県浜松市高丘西１－６－７,433-8118,053-438-0315
21007-00,信菱電機㈱,取出機　　　　　　　　　　　　　　　　,TS-600,T06-0152,,長野県飯田市久米２９－４,395-0241,0265-25-7716
21007-00,信菱電機㈱,取出機　　　　　　　　　　　　　　　　,TS-700,T07-0256,,長野県飯田市久米２９－４,395-0241,0265-25-7716
21007-00,信菱電機㈱,プ－ルコンベア　　　　　　　　　　　　,PC4000-5,,,長野県飯田市久米２９－４,395-0241,0265-25-7716
21007-00,信菱電機㈱,取出機　　　　　　　　　　　　　　　　,MHY-1900SNII,,,長野県飯田市久米２９－４,395-0241,0265-25-7716
11016-00,近畿電機㈱,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0248,,愛知県江南市赤童子町藤宮１８３,483-8222,0587-55-0175
61027-00,水野製作所,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0244,,長野県埴科郡坂城町中之条２１５４,389-0602,0268-82-3777
61027-00,水野製作所,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0251,,長野県埴科郡坂城町中之条２１５４,389-0602,0268-82-3777
64001-00,㈱森合成,取出機　　　　　　　　　　　　　　　　,TW-700,T07-0259,,石川県白山市旭丘１丁目１５番地,924-0004,076-275-0550
81001-00,MCCｱﾄﾞﾊﾞﾝｽﾄﾞﾓｰﾙﾃﾞｨﾝｸﾞｽ㈱　浅井事業所,取出機　　　　　　　　　　　　　　　　,TS-900,T09-0192,,滋賀県長浜市大路町１７００,526-0243,0749-74-3560
81001-00,MCCｱﾄﾞﾊﾞﾝｽﾄﾞﾓｰﾙﾃﾞｨﾝｸﾞｽ㈱　浅井事業所,取出機　　　　　　　　　　　　　　　　,TS-900,T09-0197,,滋賀県長浜市大路町１７００,526-0243,0749-74-3560
40017-00,㈱長野三洋化成,プ－ルコンベア　　　　　　　　　　　　,PC3000-4,,,長野県東御市滋野甲２３０５,389-0511,0268-62-1631
20043-00,佐藤化成,プ－ルコンベア　　　　　　　　　　　　,PC3000-3,,,愛知県小牧市大字河内屋新田３９７,485-0085,0568-71-7077
11008-00,北原工業所,ＲＣ－コンベア　　　　　　　　　　　　,RC2500-4,,,岐阜県中津川市付知町７７６０－５,508-0351,0573-82-2023
22054-00,スギヤマプラスチック㈱　本社工場,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0256,,愛知県蒲郡市西浦町池田１０番地,443-0105,0533-57-9555
01082-00,石川ライト工業所,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0259,,愛知県安城市高棚町郷３０１,446-0053,0566-92-0945
31007-00,中部輪業有限会社,取出機　　　　　　　　　　　　　　　　,RS-500C,RS5-0198,,愛知県稲沢市大矢町村内上６,492-8412,0587-36-1248
52084-00,富士ﾌｲﾙﾑﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ㈱鈴鹿事業所,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0208,,三重県鈴鹿市伊船町１９００,519-0393,0593-71-8888
52084-00,富士ﾌｲﾙﾑﾏﾆｭﾌｧｸﾁｬﾘﾝｸﾞ㈱鈴鹿事業所,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0209,,三重県鈴鹿市伊船町１９００,519-0393,0593-71-8888
70020-00,山宗㈱　浜松工場,取出機　　　　　　　　　　　　　　　　,TWS-1200,T12-0123,,静岡県浜松市浜名区中瀬８０１１－１,434-0012,053-588-3918
51026-00,日置合成樹脂工業所,取出機　　　　　　　　　　　　　　　　,TS-700,T07-0195,,静岡県浜松市高丘西１－６－７,433-8118,053-438-0315
40002-00,㈱名口製作所,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0264,,愛知県春日井市上野町３丁目３－１１,480-0306,0568-88-0602
70045-00,ヤマプラ,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0270,,愛知県西尾市吉良町友国赤田１０,444-0504,0563-34-6218
20066-00,三協化学工業㈱,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0272,,静岡県磐田市国府台２１－８,438-0077,05383-8-1117
70044-00,ヤマハチケミカル㈱,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0161,,愛知県蒲郡市西浦町大知柄５４－４,443-0105,0533-57-3838
20022-00,㈱相良プラスチック工業所,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0162,,静岡県袋井市広岡１１２０,437-0021,0538-42-6171
61027-00,水野製作所,取出機　　　　　　　　　　　　　　　　,RS-600,RS6-0126,,長野県埴科郡坂城町中之条２１５４,389-0602,0268-82-3777
61027-00,水野製作所,取出機　　　　　　　　　　　　　　　　,T-600,T06-0186,,長野県埴科郡坂城町中之条２１５４,389-0602,0268-82-3777
52027-00,㈱二子工芸,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0172,,愛知県北名古屋市宇福寺字中　６０,481-0035,0568-24-1888
60028-00,マルゴ㈱　,取出機　　　　　　　　　　　　　　　　,TS-600,T06-0136,,長野県埴科郡坂城町大字網掛１０１３,389-0604,0268-82-3694
40016-00,㈱ナカザワ,取出機　　　　　　　　　　　　　　　　,T-500,T05-0005,,長野県上田市塩川６３０－２１,386-0401,0268-35-0304
52023-00,富士越工業㈱,取出機　　　　　　　　　　　　　　　　,MHY-LO900,,,愛知県名古屋市西区長先町９１－２,452-0838,052-502-3244
34046-00,三光合成㈱　静岡工場(40062-17),取出機　　　　　　　　　　　　　　　　,MHY-1700SNII,,,静岡県掛川市下土方３５６０,437-1434,0537-74-2512
14023-00,小林工業㈱,取出機　　　　　　　　　　　　　　　　,T-600,T06-0154,,愛知県岡崎市柱３丁目８番地１,444-0837,0564-51-1302
70005-00,安永化成,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0218,,愛知県一宮市木曽川町玉ノ井字辻西１０１１,493-0004,0586-87-1469
10033-00,加藤プラスチック,取出機　　　　　　　　　　　　　　　　,RS-500,RS5-0271,,岐阜県中津川市苗木１６５３－３３４,508-0101,05736-6-6075
02019-00,鵜花井樹脂,取出機　　　　　　　　　　　　　　　　,RS-500C,RS5-0212,,岐阜県安八郡輪之内町亠俣２６８７,503-0200,05846-9-4190
52030-00,福田製作所,取出機　　　　　　　　　　　　　　　　,RS-600,RS6-0124,,富山県小矢部市田坪野,932-0000,0766-68-0033
30078-00,ダイショー化成㈱,取出機　　　　　　　　　　　　　　　　,RS-600C,RS6-0163,,愛知県海部郡大治町大字西條字松下７０－３,490-1144,052-445-8855
30078-00,ダイショー化成㈱,プ－ルコンベア　　　　　　　　　　　　,PC3000-4,,,愛知県海部郡大治町大字西條字松下７０－３,490-1144,052-445-8855
21050-00,㈱島正技研,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0315,,愛知県犬山市大字羽黒新田字下蝉屋２９,484-0888,0568-67-0078
00082-00,旭樹脂,取出機　　　　　　　　　　　　　　　　,RS-600,RS6-0128,,岐阜県羽島郡柳津町大字佐波１０７８,501-6121,0582-79-1615
40006-00,仲由化成,取出機　　　　　　　　　　　　　　　　,TS-700,T07-0253,,愛知県知多郡南知多町大字豊浜字椿廻間７－１３,470-3412,0569-65-0654
40006-00,仲由化成,プ－ルコンベア　　　　　　　　　　　　,PC4000-5,,,愛知県知多郡南知多町大字豊浜字椿廻間７－１３,470-3412,0569-65-0654
51026-00,日置合成樹脂工業所,プ－ルコンベア　　　　　　　　　　　　,PC4000-5,,,静岡県浜松市高丘西１－６－７,433-8118,053-438-0315
03033-00,㈱エビス,プ－ルコンベア　　　　　　　　　　　　,PC3000-3,,,新潟県燕市佐渡山７２９７,959-0202,0256-92-5133
03033-00,㈱エビス,プ－ルコンベア　　　　　　　　　　　　,PC3000-3,,,新潟県燕市佐渡山７２９７,959-0202,0256-92-5133
04031-00,大場プラスチック工業,取出機　　　　　　　　　　　　　　　　,T-900,T09-0182,,静岡県袋井市山科字松田２８４０－４,437-0066,0538-45-0895
60014-01,大宝浜松㈱,取出機　　　　　　　　　　　　　　　　,T-600,T06-0188,,静岡県磐田市竜洋中島新開１５８５,438-0201,0538-66-6226
10023-00,加藤プラスチック製作所,プ－ルコンベア　　　　　　　　　　　　,PC3000-4,,,岐阜県岐阜市鏡島中２丁目１－６,501-0124,0582-51-5357
01071-00,和泉化成㈱,プ－ルコンベア　　　　　　　　　　　　,PC5000-6,,,愛知県一宮市萩原町高木字五十歩１－４,491-0395,0586-69-3131
40004-00,㈱中富,プ－ルコンベア　　　　　　　　　　　　,PC3000-4,,,愛知県知多郡南知多町大字豊浜字中ノ坪３２,470-3412,0569-65-0392
63006-00,㈱名伸電機製作所,取出機　　　　　　　　　　　　　　　　,RS-600,RS6-0183,,愛知県小牧市大字西之島２１７,485-0077,0568-72-5181
00078-00,㈱アイシン　西尾工場,取出機　　　　　　　　　　　　　　　　,TW-1200,T12-0158,,愛知県西尾市南中根町小割８０,445-0801,050-3172-9749
60045-00,有限会社間宮樹脂,取出機　　　　　　　　　　　　　　　　,RS-400C,RS4-0304,,静岡県沼津市大諏訪８０６－８,410-0873,055-922-4000
23022-00,静和樹脂工業㈱　本社,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0265,,静岡県静岡市葵区山崎１－１３－７,421-1213,054-277-5500
40002-00,㈱名口製作所,取出機　　　　　　　　　　　　　　　　,RS-600,RS6-0127,,愛知県春日井市上野町３丁目３－１１,480-0306,0568-88-0602
52004-00,不二商事,取出機　　　　　　　　　　　　　　　　,RS-400,RS4-0266,,長野県上田市踏入１－１－２８,386-0017,0268-22-2672
04031-00,大場プラスチック工業,プ－ルコンベア　　　　　　　　　　　　,PC5000-5,,,静岡県袋井市山科字松田２８４０－４,437-0066,0538-45-0895
22046-02,㈱スター精密　（韓国）,取出機　　　　　　　　　　　　　　　　,T-600,T06-0229,,KOREA,,
22046-02,㈱スター精密　（韓国）,取出機　　　　　　　　　　　　　　　　,T-600,T06-0230,,KOREA,,
22046-02,㈱スター精密　（韓国）,取出機　　　　　　　　　　　　　　　　,T-600,T06-0251,,KOREA,,
22046-02,㈱スター精密　（韓国）,取出機　　　　　　　　　　　　　　　　,T-600,T06-0252,,KOREA,,
22046-02,㈱スター精密　（韓国）,取出機　　　　　　　　　　　　　　　　,T-600,T06-0253,,KOREA,,
22046-02,㈱スター精密　（韓国）,エッジコンベア　　　　　　　　　　　　,EC-ｺﾝﾍﾞｱ ﾄｸｼｭ,,,KOREA,,
22046-02,㈱スター精密　（韓国）,エッジコンベア　　　　　　　　　　　　,EC-ｺﾝﾍﾞｱ ﾄｸｼｭ,,,KOREA,,
22046-02,㈱スター精密　（韓国）,エッジコンベア　　　　　　　　　　　　,EC-ｺﾝﾍﾞｱ ﾄｸｼｭ,,,KOREA,,
22046-02,㈱スター精密　（韓国）,エッジコンベア　　　　　　　　　　　　,EC-ｺﾝﾍﾞｱ ﾄｸｼｭ,,,KOREA,,
22046-02,㈱スター精密　（韓国）,エッジコンベア　　　　　　　　　　　　,EC-ｺﾝﾍﾞｱ ﾄｸｼｭ,,,KOREA,,
22046-02,㈱スター精密　（韓国）,エッジコンベア　　　　　　　　　　　　,EC-ｺﾝﾍﾞｱ ﾄｸｼｭ,,,KOREA,,
22046-02,㈱スター精密　（韓国）,エッジコンベア　　　　　　　　　　　　,EC-ｺﾝﾍﾞｱ ﾄｸｼｭ,,,KOREA,,
70002-00,安田化成工業所,取出機　　　　　　　　　　　　　　　　,RS-500C,RS5-0191,,岐阜県瑞穂市生津天東町２丁目１４－２,501-0211,058-326-7123
50021-00,原化学,プ－ルコンベア　　　　　　　　　　　　,PC3000-5,,,岐阜県本巣市小柿８４６－１,501-0463,0583-23-0146
50021-00,原化学,ＲＣ－コンベア　　　　　　　　　　　　,RC1200-4,,,岐阜県本巣市小柿８４６－１,501-0463,0583-23-0146
20053-00,三友化成,取出機　　　　　　　　　　　　　　　　,TS-1200,T12-0166,,愛知県瀬戸市山の田町４３－１１,489-0975,0561-83-5613
00015-00,イードリーム株式会社,取出機　　　　　　　　　　　　　　　　,T-1200,T12-0198,,愛知県北名古屋市沖村字八反５２－１,481-0043,0568-22-4111
